PICKING,VIN,MODELO,COLOR,DEALER,CLIENTE FINAL,PROVEDOR,UBICACIÓN ESUM,Fecha Despacho,Destino,REALIZADO,UBICACION VARI,Estado CC,QUE REPROCESO FALTA,REPROCESO PINTURA,REPROCESO REPUESTOS,TALLER,FUE CONVERTIDO A GLP,UBICACIÓN MAPEADA-APP,HORA REGISTRADA,ENTREGA-REVO Y ESSA,REVISION-REVO Y ESSA,OBSERVACION - REVO Y ESSA,ENTREGA-EMSA Y ASSA,REVISION-EMSA Y ASSA,OBSERVACION - EMSA Y ASSA
,LS4ASL2E8TE158491,NEW V7 1.6 MEC PLUS,BLANCO,ADELANTO PDI ZI - VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Asiento y cabeceras posterior de última fila descolorido | Rydras en pantalla de radio | Filo de puerta delantera con grumo | Estribo de puerta delantera lh quiñado | Filo de puerta posterior RH raspado | Filo de puerta posterior RH raspado | Marco de puerta RH delantero raspado | Laterales de escalera con oxido | Techo LH Y RH con oxido | Interior de motor con oxido | Quiñe y pxido en filo de puerta corrediza lh | Abolladura en Capot,REPUESTO: Cromo de mascara careado | Logos de puerta de maletera careado | Neblinero RH y LH careado | Emblema delantero careado | Falta tope de plumilla RH | Falta llave rueda,VARI BIRRAK,,Isla 5,2026-03-13T16:00:15.453Z,,,,,Rechazado,Abolladura en  el capot
,LSCABN3E0TE144308,NEW X5 1.5 MEC CARGO BOX,BLANCO,VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T08:04:07.552Z,,,,1era Entrega,,
,LS4ASL2E4TE158150,NEW V7 1.6 MEC PLUS,BLANCO BEIGE,ADELANTO PDI ZI - VENTA HS TALLERES,ALTOS ANDES,YERMAN,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Para validar,Completo,PINTURA: ,REPUESTO: Emblema delantero suelto,VARI BIRRAK,,Isla 14,2026-03-13T07:29:15.554Z,,,,1era Entrega,,
,LVTDB11B2TDB38574,X50 1.5L 4X2 5MT CONFORT,BLANCO,VENTA HS TALLERES,ALTOS ANDES,YERMAN,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:32:44.821Z,,,,2da Entrega,,
,LVTDB21BXTDB39073,X50 1.5T 4X2 6DCT LIMITED,BLANCO,VENTA HS TALLERES,ALTOS ANDES,YERMAN,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:33:11.298Z,,,,,,
,HJRPBGGB7TB035633,DASHING 1.6T 4X2 7DCT B ACP,ROJO,VENTA HS TALLERES,ALTOS ANDES,YERMAN,LISTOS - REVISADO,14/3/2026,DESPACHO,NO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:19:30.805Z,,,,1era Entrega,Rechazado,Rayadura en el enbellecedor del  madio. lado izquierdo
,LVTDB11B6VDC01260,X50 1.5L 4X2 5MT CONFORT,PLATA,ADELANTO DE PDI - VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Llave blanca con mancha,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:23:45.706Z,,,,,,
,LVTDB11B5VDC01251,X50 1.5L 4X2 5MT CONFORT,PLATA,VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Puerta delantera lh con abolladura | Puerta delantera RH con abolladura,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:28:20.138Z,,,,,,
,LVTDB11B5VDC01203,X50 1.5L 4X2 5MT CONFORT,BLANCO,VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Tapiz puerta delantera lh raspado | Quiñe en filo de marco delantero lh,REPUESTO: ,VARI BIRRAK,,Isla 3 - FILA 06,2026-03-13T11:10:51.816Z,,,,,,
,LVTDB11B5VDC01220,X50 1.5L 4X2 5MT CONFORT,BLANCO,ADELANTO DE PDI - VENTA AUTOCAMIONES,ALTOS ANDES,CONTINENTAL,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Moldura de Puerta interior DLH con rayadura,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:32:16.389Z,,,,,,
